Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
SW10,VALUE,SW-TH_EC11XXXXXXXX,239.2245,-26.12,180.0,top
SW2,2,KEY-SMD_2P-L6.0-W6.0-P6.00,177.4,-38.381,0.0,top
SW3,3,KEY-SMD_2P-L6.0-W6.0-P6.00,192.65,-38.381,0.0,top
SW4,4,KEY-SMD_2P-L6.0-W6.0-P6.00,207.9,-38.381,0.0,top
SW5,5,KEY-SMD_2P-L6.0-W6.0-P6.00,223.15,-38.381,0.0,top
SW6,6,KEY-SMD_2P-L6.0-W6.0-P6.00,235.65,-38.327,0.0,top
SW7,SW_Push,SW-SMD_4P-L4.5-W4.5-P3.00-LS7.0_TS-1009S-03826,247.19,-19.433,270.0,bottom
SW8,SW_Push,SW-SMD_4P-L4.5-W4.5-P3.00-LS7.0_TS-1009S-03826,247.179,-10.56,90.0,bottom
SW9,PARAM,SW-TH_EC11XXXXXXXX,239.1755,1.32,0.0,top
U1,PCM5102A,TSSOP-20_4.4x6.5mm_P0.65mm,224.175,-8.92,270.0,bottom
U2,SX1308,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,174.054501,4.100287,270.0,bottom
U3,ME6210A33M3G,SOT-23,209.695,-0.9,180.0,bottom
U4,TXS0108EPW,TSSOP-20_4.4x6.5mm_P0.65mm,180.4,-32.705,0.0,bottom
U5,W25Q16JVSS,SOIC-8_5.3x5.3mm_P1.27mm,173.675,-19.975,90.0,bottom
X1,SMD3225-4,Crystal_SMD_3225-4Pin_3.2x2.5mm,204.2,-13.15,270.0,bottom
